KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
sift_color	0.060	0.080	0.100	0.048
sift_color	0.060	0.100	0.020	0.029
sift_color	0.060	0.100	0.040	0.739
sift_color	0.060	0.100	0.060	0.739
sift_color	0.060	0.100	0.080	0.315
sift_color	0.060	0.100	0.100	0.315
sift_color	0.080	0.020	0.020	0.582
sift_color	0.080	0.020	0.040	0.520
sift_color	0.080	0.020	0.060	0.190
sift_color	0.080	0.020	0.080	0.485
sift_color	0.080	0.020	0.100	0.436
sift_color	0.080	0.040	0.020	0.051
sift_color	0.080	0.040	0.040	0.246
sift_color	0.080	0.040	0.060	0.246
sift_color	0.080	0.040	0.080	0.246
sift_color	0.080	0.040	0.100	0.432
sift_color	0.080	0.060	0.020	0.094
sift_color	0.080	0.060	0.040	0.165
sift_color	0.080	0.060	0.060	0.032
sift_color	0.080	0.060	0.080	0.032
sift_color	0.080	0.060	0.100	0.352
sift_color	0.080	0.080	0.020	0.048
sift_color	0.080	0.080	0.040	0.048
sift_color	0.080	0.080	0.060	0.230
sift_color	0.080	0.080	0.080	0.230
sift_color	0.080	0.080	0.100	0.048
sift_color	0.080	0.100	0.020	0.029
sift_color	0.080	0.100	0.040	0.739
sift_color	0.080	0.100	0.060	0.739
sift_color	0.080	0.100	0.080	0.315
sift_color	0.080	0.100	0.100	0.315
sift_color	0.100	0.020	0.020	0.582
sift_color	0.100	0.020	0.040	0.520
sift_color	0.100	0.020	0.060	0.190
sift_color	0.100	0.020	0.080	0.485
sift_color	0.100	0.020	0.100	0.436
sift_color	0.100	0.040	0.020	0.051
sift_color	0.100	0.040	0.040	0.246
sift_color	0.100	0.040	0.060	0.246
sift_color	0.100	0.040	0.080	0.246
sift_color	0.100	0.040	0.100	0.432
sift_color	0.100	0.060	0.020	0.094
sift_color	0.100	0.060	0.040	0.165
sift_color	0.100	0.060	0.060	0.032
sift_color	0.100	0.060	0.080	0.032
sift_color	0.100	0.060	0.100	0.352
sift_color	0.100	0.080	0.020	0.048
sift_color	0.100	0.080	0.040	0.048
sift_color	0.100	0.080	0.060	0.230
sift_color	0.100	0.080	0.080	0.230
sift_color	0.100	0.080	0.100	0.048
sift_color	0.100	0.100	0.020	0.029
sift_color	0.100	0.100	0.040	0.739
sift_color	0.100	0.100	0.060	0.739
sift_color	0.100	0.100	0.080	0.315
sift_color	0.100	0.100	0.100	0.315
